YEAR,MONTH,DAY,TMAX,TMIN,TAVG
2016,1,1,42.29,25.67,32.23
2016,1,2,49.73,27.96,36.09
2016,1,3,47.35,25.48,35.47
2016,1,4,48.04,23.6,33.63
2016,1,5,44.11,22.21,33.92
2016,1,6,41.67,35.3,38.93
2016,1,7,55.58,38.84,45.96
2016,1,8,42.22,33.58,37.99
2016,1,9,36.81,23.93,31.65
2016,1,10,31.7,15.62,23.22
2016,1,11,48.36,26.93,36.42
2016,1,12,58.53,26.63,41.78
2016,1,13,62.76,25.67,43.39
2016,1,14,65.39,37.56,49.13
2016,1,15,52.99,36.47,44.08
2016,1,16,42.34,25.19,34.94
2016,1,17,42.33,22.36,30.79
2016,1,18,33.26,20.12,25.54
2016,1,19,51.87,28.13,36.65
2016,1,20,39.61,28.61,33.02
2016,1,21,36.29,31.72,33.94
2016,1,22,33.75,27.4,30.15
2016,1,23,47.39,25.72,34.62
2016,1,24,61.05,35.56,47.48
2016,1,25,54.43,34.21,46.59
2016,1,26,49.73,25.95,36.1
2016,1,27,57.87,21.39,39.8
2016,1,28,67.8,29.92,47.73
2016,1,29,76.14,41.75,56.66
2016,1,30,75.24,33.76,56.28
2016,1,31,62.46,39.35,52.61
2016,2,1,66.61,35.57,51.45
2016,2,2,52.74,34.28,44.63
2016,2,3,42.85,28.68,34.97
2016,2,4,50.04,22.47,35.72
2016,2,5,55.47,33.74,44.36
2016,2,6,51.49,37.92,43.69
2016,2,7,59.7,33.12,45.53
2016,2,8,50.22,30.63,41.38
2016,2,9,52.25,26.94,38.8
2016,2,10,72,24.78,49.29
2016,2,11,62.01,35.95,48.69
2016,2,12,60.93,31.15,44.88
2016,2,13,58.75,30.36,44.45
2016,2,14,57.79,42.86,50.52
2016,2,15,62.96,38.68,51.17
2016,2,16,60.78,36.79,52.48
2016,2,17,70.59,32.34,52.88
2016,2,18,75.94,51.51,63.21
2016,2,19,74.64,56.5,66.82
2016,2,20,82.6,53.65,68.25
2016,2,21,64.92,48.38,55.33
2016,2,22,61.41,38.15,50.69
2016,2,23,50.2,39.6,42.68
2016,2,24,58.35,33.79,44.99
2016,2,25,49.87,29.91,41.55
2016,2,26,59.97,23.73,43.75
2016,2,27,71.89,34.41,55.65
2016,2,28,72.86,46.74,60.64
2016,2,29,75.07,41.83,59.17
